task_id,domain,world_id,status,agent_status,final_score,criteria_passed,criteria_total,steps_used,wall_time_seconds,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,agent_final_step_completion_tokens,agent_usage_available,agent_usage_source,agent_usage_consistent,agent_profile,agent_model,judge_model,trajectory_path,grades_path
task_ad52b80191404ec2afc47fc1c29604b4,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,24,138.56,206579,1839,208418,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_ad52b80191404ec2afc47fc1c29604b4/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_ad52b80191404ec2afc47fc1c29604b4/grades.json
task_8985fd777093438eb1e1a51af2ca6142,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,43,412.62,860363,3230,863593,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_8985fd777093438eb1e1a51af2ca6142/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_8985fd777093438eb1e1a51af2ca6142/grades.json
task_eb001a3a7d59493f8541aba607e3f255,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,25,223.56,326624,1092,327716,38,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_eb001a3a7d59493f8541aba607e3f255/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_eb001a3a7d59493f8541aba607e3f255/grades.json
task_34254f339d6e4f65b59bb2bd97e606e2,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,5,67.26,10786,196,10982,29,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_34254f339d6e4f65b59bb2bd97e606e2/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_34254f339d6e4f65b59bb2bd97e606e2/grades.json
task_95a11015406f43a597c0b68c0b2e429a,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,42,249.53,1078041,4505,1082546,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_95a11015406f43a597c0b68c0b2e429a/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_95a11015406f43a597c0b68c0b2e429a/grades.json
task_6ed4c4d326c04e3c9ef66be237b8dcbe,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,32,193.56,477870,2929,480799,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_6ed4c4d326c04e3c9ef66be237b8dcbe/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_6ed4c4d326c04e3c9ef66be237b8dcbe/grades.json
task_719041266bc54f8e951908414f467daf,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,4,36,183.2,504549,5453,510002,118,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_719041266bc54f8e951908414f467daf/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_719041266bc54f8e951908414f467daf/grades.json
task_bb48b8b37be243d3801b667a0f75d574,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,37,345.94,593858,4897,598755,41,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_bb48b8b37be243d3801b667a0f75d574/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_bb48b8b37be243d3801b667a0f75d574/grades.json
task_583c24a9cc6d432c9159b6e4380fe428,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,38,178.43,462161,1729,463890,41,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_583c24a9cc6d432c9159b6e4380fe428/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_583c24a9cc6d432c9159b6e4380fe428/grades.json
task_1da4eacde8434166b08bd64d9011095c,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,41,225.89,879362,4367,883729,354,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_1da4eacde8434166b08bd64d9011095c/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high/task_1da4eacde8434166b08bd64d9011095c/grades.json
