task_id,domain,world_id,status,agent_status,final_score,criteria_passed,criteria_total,steps_used,wall_time_seconds,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,agent_final_step_completion_tokens,agent_usage_available,agent_usage_source,agent_usage_consistent,agent_profile,agent_model,judge_model,trajectory_path,grades_path,dynamic_ledger_enabled,dynamic_ledger_snapshot_index_before,retrieved_entry_count,retrieved_entry_ids,curator_create_count,curator_create_blocked_count,curator_update_count,curator_delete_count,dynamic_ledger_active_entry_count_after,dynamic_ledger_total_entry_count_after,dynamic_ledger_total_active_chars_after,curator_prompt_tokens,curator_completion_tokens,curator_wall_seconds,trajectory_chars_seen_by_curator
task_ad52b80191404ec2afc47fc1c29604b4,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,41,192.35,678467,3049,681516,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_ad52b80191404ec2afc47fc1c29604b4/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_ad52b80191404ec2afc47fc1c29604b4/grades.json,True,0,0,[],1,0,0,0,1,1,223,17959,1930,35.02,45882
task_eb001a3a7d59493f8541aba607e3f255,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,31,369.02,599023,1902,600925,74,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_eb001a3a7d59493f8541aba607e3f255/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_eb001a3a7d59493f8541aba607e3f255/grades.json,True,2,1,"[""entry-1""]",1,0,0,0,3,3,703,14999,2275,67.19,38351
task_00b30f56f39a4a9891d9503443bafb27,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.8,4,5,49,250.35,1136662,3401,1140063,87,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_00b30f56f39a4a9891d9503443bafb27/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_00b30f56f39a4a9891d9503443bafb27/grades.json,True,4,0,[],1,0,0,0,4,4,902,25932,2565,34.53,60851
task_95a11015406f43a597c0b68c0b2e429a,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,4,84.25,8587,165,8752,43,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_95a11015406f43a597c0b68c0b2e429a/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_95a11015406f43a597c0b68c0b2e429a/grades.json,True,6,0,[],0,0,0,0,4,4,902,3527,1667,29.56,2152
task_0de09be0daf242208f7a60ee83bf8717,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.2857,2,7,47,3164.88,1202052,3270,1205322,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_0de09be0daf242208f7a60ee83bf8717/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_0de09be0daf242208f7a60ee83bf8717/grades.json,True,7,0,[],1,0,0,0,5,5,1152,18605,2696,28.73,51020
task_6ed4c4d326c04e3c9ef66be237b8dcbe,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,44,224.06,975815,4728,980543,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_6ed4c4d326c04e3c9ef66be237b8dcbe/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_6ed4c4d326c04e3c9ef66be237b8dcbe/grades.json,True,8,2,"[""entry-3"", ""entry-1""]",1,0,0,0,6,6,1480,22724,2687,32.12,52132
task_719041266bc54f8e951908414f467daf,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,4,25,193.42,290230,4034,294264,127,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_719041266bc54f8e951908414f467daf/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_719041266bc54f8e951908414f467daf/grades.json,True,9,2,"[""entry-3"", ""entry-6""]",1,0,0,0,7,7,1707,16193,2222,62.75,39170
task_bb48b8b37be243d3801b667a0f75d574,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,1.0,2,2,30,288.34,662307,10144,672451,33,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_bb48b8b37be243d3801b667a0f75d574/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_bb48b8b37be243d3801b667a0f75d574/grades.json,True,10,3,"[""entry-3"", ""entry-1"", ""entry-7""]",0,0,0,0,7,7,1707,23473,1329,19.63,56869
task_583c24a9cc6d432c9159b6e4380fe428,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,24,178.28,211716,1622,213338,43,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_583c24a9cc6d432c9159b6e4380fe428/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_583c24a9cc6d432c9159b6e4380fe428/grades.json,True,11,1,"[""entry-3""]",1,0,0,0,8,8,2026,12756,3267,43.76,29168
task_1da4eacde8434166b08bd64d9011095c,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,45,259.0,978988,2593,981581,111,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_1da4eacde8434166b08bd64d9011095c/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/ib-world219-grok43high-dl/task_1da4eacde8434166b08bd64d9011095c/grades.json,True,12,3,"[""entry-3"", ""entry-7"", ""entry-1""]",1,0,0,0,9,9,2342,21884,2169,29.58,51927
