task_id,domain,world_id,status,agent_status,final_score,criteria_passed,criteria_total,steps_used,wall_time_seconds,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,agent_final_step_completion_tokens,agent_usage_available,agent_usage_source,agent_usage_consistent,agent_profile,agent_model,judge_model,trajectory_path,grades_path,dl_enabled,dl_snapshot_index_before,dl_retrieved_count,dl_retrieved_entry_ids,dl_curator_create_count,dl_curator_update_count,dl_curator_delete_count,dl_curator_skipped_invalid_id_count,dl_curator_parse_error,dl_active_entry_count_after,dl_total_entry_count_after,dl_total_active_chars_after,dl_curator_prompt_tokens,dl_curator_completion_tokens,dl_curator_wall_seconds,dl_trajectory_chars_seen_by_curator
task_ad52b80191404ec2afc47fc1c29604b4,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,19,389.89,245199,2058,247257,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_ad52b80191404ec2afc47fc1c29604b4/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_ad52b80191404ec2afc47fc1c29604b4/grades.json,True,0,0,[],5,0,0,0,,5,5,2457,15808,2465,33.03,31603
task_8985fd777093438eb1e1a51af2ca6142,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,2,52.65,5160,182,5342,111,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_8985fd777093438eb1e1a51af2ca6142/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_8985fd777093438eb1e1a51af2ca6142/grades.json,True,1,4,"[""entry-5"", ""entry-1"", ""entry-2"", ""entry-3""]",0,0,0,0,,5,5,2457,5960,824,13.16,6204
task_eb001a3a7d59493f8541aba607e3f255,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,1,79.82,2223,48,2271,48,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_eb001a3a7d59493f8541aba607e3f255/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_eb001a3a7d59493f8541aba607e3f255/grades.json,True,2,4,"[""entry-5"", ""entry-1"", ""entry-2"", ""entry-3""]",0,0,0,0,,5,5,2457,5628,846,13.2,5018
task_34254f339d6e4f65b59bb2bd97e606e2,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,2,38,431.48,576131,2387,578518,100,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_34254f339d6e4f65b59bb2bd97e606e2/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_34254f339d6e4f65b59bb2bd97e606e2/grades.json,True,3,4,"[""entry-5"", ""entry-1"", ""entry-2"", ""entry-3""]",0,0,0,0,,5,5,2457,24186,1745,27.8,60820
task_00b30f56f39a4a9891d9503443bafb27,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,5,1,49.36,2224,43,2267,43,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_00b30f56f39a4a9891d9503443bafb27/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_00b30f56f39a4a9891d9503443bafb27/grades.json,True,4,4,"[""entry-5"", ""entry-1"", ""entry-2"", ""entry-3""]",0,0,0,0,,5,5,2457,5620,726,6.11,5001
task_9627f5be91db4334a3f3b5d9a2747460,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.2,1,5,29,342.02,641804,6410,648214,187,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_9627f5be91db4334a3f3b5d9a2747460/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_9627f5be91db4334a3f3b5d9a2747460/grades.json,True,5,4,"[""entry-5"", ""entry-1"", ""entry-2"", ""entry-3""]",5,0,0,0,,10,10,5414,25071,3329,42.19,57313
task_95a11015406f43a597c0b68c0b2e429a,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,39,242.79,860863,5197,866060,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_95a11015406f43a597c0b68c0b2e429a/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_95a11015406f43a597c0b68c0b2e429a/grades.json,True,6,5,"[""entry-5"", ""entry-1"", ""entry-2"", ""entry-3"", ""entry-10""]",1,0,0,0,,11,11,6149,31242,2860,41.01,71193
task_6ed4c4d326c04e3c9ef66be237b8dcbe,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,1,36,162.8,579949,2569,582518,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_6ed4c4d326c04e3c9ef66be237b8dcbe/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_6ed4c4d326c04e3c9ef66be237b8dcbe/grades.json,True,8,6,"[""entry-5"", ""entry-1"", ""entry-2"", ""entry-13"", ""entry-3"", ""entry-10""]",3,0,0,0,,17,17,10517,23088,4380,63.02,56589
task_719041266bc54f8e951908414f467daf,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,0.0,0,4,19,73.61,151258,525,151783,68,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_719041266bc54f8e951908414f467daf/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_719041266bc54f8e951908414f467daf/grades.json,True,9,4,"[""entry-15"", ""entry-16"", ""entry-17"", ""entry-13""]",0,0,0,0,,17,17,10517,12560,607,6.51,32237
task_bb48b8b37be243d3801b667a0f75d574,Investment Banking,world_1e4d4288e63f4a08851a3cc441eb3ccb,completed,completed,1.0,2,2,35,210.14,765113,10664,775777,33,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_bb48b8b37be243d3801b667a0f75d574/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dl/task_bb48b8b37be243d3801b667a0f75d574/grades.json,True,10,6,"[""entry-1"", ""entry-2"", ""entry-3"", ""entry-13"", ""entry-16"", ""entry-15""]",0,0,0,0,,17,17,10517,31580,1283,16.16,69370
